Amarillo TX Charleston WV,Amarillo TX,Charleston WV,1412.2
Charlottetown PE Rochester MN,Charlottetown PE,Rochester MN,2033.9
Philadelphia PA Dayton OH,Philadelphia PA,Dayton OH,623.9
Sherbrooke QC Toledo OH,Sherbrooke QC,Toledo OH,860.3
Burlington VT Steubenville OH,Burlington VT,Steubenville OH,586.1
Gulfport MS Durham NC,Gulfport MS,Durham NC,804.5
Saint John NB Bridgeport CT,Saint John NB,Bridgeport CT,581.1
Salt Lake City UT Lincoln NE,Salt Lake City UT,Lincoln NE,1051.9
Concord NH Steubenville OH,Concord NH,Steubenville OH,658.4
Evansville IN Hamilton OH,Evansville IN,Hamilton OH,229.1
Saint Louis MO Whitehorse YK,Saint Louis MO,Whitehorse YK,3455.5
Ft Smith AR Saint Catherines ON,Ft Smith AR,Saint Catherines ON,1182.3
Fresno CA Flint MI,Fresno CA,Flint MI,2530.5
Guelph ON Eureka CA,Guelph ON,Eureka CA,3038.9
Bismarck ND Helena MT,Bismarck ND,Helena MT,777.6
Dubuque IA Churchill MB,Dubuque IA,Churchill MB,1146.1
Winston-Salem NC Saint Paul MN,Winston-Salem NC,Saint Paul MN,1077.8
Troy NY Winston-Salem NC,Troy NY,Winston-Salem NC,644
Battle Creek MI Brandon MB,Battle Creek MI,Brandon MB,1147.4
Saint John's NF Lawrence MA,Saint John's NF,Lawrence MA,1316.7
Little Rock AR Windsor ON,Little Rock AR,Windsor ON,828.4
Salina KS Springfield IL,Salina KS,Springfield IL,554.5
Schenectady NY Bangor ME,Schenectady NY,Bangor ME,382.2
Beaumont TX Colorado Springs CO,Beaumont TX,Colorado Springs CO,956
Saskatoon SK Ottawa ON,Saskatoon SK,Ottawa ON,2171.9
Schenectady NY Abilene TX,Schenectady NY,Abilene TX,1920.5
Ann Arbor MI Guelph ON,Ann Arbor MI,Guelph ON,254.9
Charlotte NC Seattle WA,Charlotte NC,Seattle WA,2991.5
Binghamtom NY Denver CO,Binghamtom NY,Denver CO,2014.9
Niagara Falls ON Columbus GA,Niagara Falls ON,Columbus GA,842.3
Calgary AB Salem OR,Calgary AB,Salem OR,754.8
Billings MT Columbus OH,Billings MT,Columbus OH,1807.4
Springfield OH Rochester NY,Springfield OH,Rochester NY,482.6
Montreal QC Kingston ON,Montreal QC,Kingston ON,210
Grand Junction CO Salt Lake City UT,Grand Junction CO,Salt Lake City UT,258.9
Urbana IL Salt Lake City UT,Urbana IL,Salt Lake City UT,1637
Chicago IL Ft Worth TX,Chicago IL,Ft Worth TX,918.7
Lihue HI Terre Haute IN,Lihue HI,Terre Haute IN,5116.7
Jackson MI Stamford CT,Jackson MI,Stamford CT,754.8
Iowa City IA Lawrence MA,Iowa City IA,Lawrence MA,1409.1
Sacramento CA Charlottetown PE,Sacramento CA,Charlottetown PE,4068.3
Springfield MO Charleston SC,Springfield MO,Charleston SC,973.2
Macon GA Saginaw MI,Macon GA,Saginaw MI,731.3
Colorado Springs CO Lima OH,Colorado Springs CO,Lima OH,1437.4
Sherbrooke QC Boston MA,Sherbrooke QC,Boston MA,217.2
Grand Junction CO Jackson MS,Grand Junction CO,Jackson MS,1352.3
Marshall TX Roanoke VA,Marshall TX,Roanoke VA,1048.9
Ann Arbor MI Ft Worth TX,Ann Arbor MI,Ft Worth TX,1147.7
Houston TX Hamilton ON,Houston TX,Hamilton ON,1412.5
Springfield IL Butte MT,Springfield IL,Butte MT,1638.7
Brandon MB Bowling Green KY,Brandon MB,Bowling Green KY,1291.5
Jersey City NJ Ashland KY,Jersey City NJ,Ashland KY,611.5
Trois-Rivieres QC Alert NT,Trois-Rivieres QC,Alert NT,2600.1
Wheeling WV Dayton OH,Wheeling WV,Dayton OH,240.7
Gallup NM Saint Louis MO,Gallup NM,Saint Louis MO,1299.1
Denver CO Oklahoma City OK,Denver CO,Oklahoma City OK,594.5
Topeka KS Sheboygan WI,Topeka KS,Sheboygan WI,639
Columbus OH Moose Jaw SK,Columbus OH,Moose Jaw SK,1715.5
Ft Worth TX Belleville ON,Ft Worth TX,Belleville ON,1593.6
Miami FL Abilene TX,Miami FL,Abilene TX,1426.5
Newark NJ West Palm Beach FL,Newark NJ,West Palm Beach FL,1050.5
Indianapolis IN Pierre SD,Indianapolis IN,Pierre SD,1030.9
Augusta ME Walla Walla WA,Augusta ME,Walla Walla WA,3357.6
Sheboygan WI Quebec City QC,Sheboygan WI,Quebec City QC,1180.4
Waco TX Gary IN,Waco TX,Gary IN,969.6
Thunder Bay ON Indianapolis IN,Thunder Bay ON,Indianapolis IN,633.4
Ogden UT Timmins ON,Ogden UT,Timmins ON,2174.2
Lihue HI Springfield OH,Lihue HI,Springfield OH,5366.3
Charleston WV Eau Claire WI,Charleston WV,Eau Claire WI,814.9
Allentown PA Kitchener ON,Allentown PA,Kitchener ON,391.3
Greensboro NC Columbia SC,Greensboro NC,Columbia SC,166.9
Champaign IL Huntsville AL,Champaign IL,Huntsville AL,389.4
London ON Gulfport MS,London ON,Gulfport MS,1025.9
Moose Jaw SK Kansas City MO,Moose Jaw SK,Kansas City MO,1085.2
Iowa City IA San Francisco CA,Iowa City IA,San Francisco CA,2151.1
Chattanooga TN Sheboygan WI,Chattanooga TN,Sheboygan WI,624
Saskatoon SK Cambridge MA,Saskatoon SK,Cambridge MA,2550.8
Lihue HI Saint John NB,Lihue HI,Saint John NB,6657.4
Joplin MO Lafayette IN,Joplin MO,Lafayette IN,575.8
Lansing MI Port Arthur TX,Lansing MI,Port Arthur TX,1098.1
Urbana IL Wichita KS,Urbana IL,Wichita KS,652.6
Charleston WV Albuquerque NM,Charleston WV,Albuquerque NM,1743.3
Mobile AL Huntsville AL,Mobile AL,Huntsville AL,296.5
Flagstaff AZ Toledo OH,Flagstaff AZ,Toledo OH,1992
Honolulu HI Sudbury ON 1,Honolulu HI,Sudbury ON,5614.5
Indianapolis IN Syndey NS,Indianapolis IN,Syndey NS,1857.4
Dodge City KS Grand Rapids MI,Dodge City KS,Grand Rapids MI,1054.8
Durham NC Cambridge MA,Durham NC,Cambridge MA,695.9
Flint MI Saskatoon SK,Flint MI,Saskatoon SK,1711.3
Jackson MI Lafayette IN,Jackson MI,Lafayette IN,212.6
Peterborough ON Lincoln NE,Peterborough ON,Lincoln NE,1286.7
Paducah KY Sacramento CA,Paducah KY,Sacramento CA,2275.1
Binghamtom NY Flagstaff AZ,Binghamtom NY,Flagstaff AZ,2514.6
Mobile AL Juneau AK,Mobile AL,Juneau AK,3729.2
Tacoma WA Yakima WA,Tacoma WA,Yakima WA,141.3
White Plains NY Yellowknife NT,White Plains NY,Yellowknife NT,3176.8
Boston MA Brattleboro VT,Boston MA,Brattleboro VT,109
Providence RI Kalamazoo MI,Providence RI,Kalamazoo MI,979.9
Evansville IN Lansing MI,Evansville IN,Lansing MI,388.6
Tampa FL Texarkana TX,Tampa FL,Texarkana TX,885.7
Muncie IN Billings MT,Muncie IN,Billings MT,1643.1
Eau Claire WI Saint Louis MO,Eau Claire WI,Saint Louis MO,436.6
Syracuse NY Bellingham WA,Syracuse NY,Bellingham WA,3226.1
Vancouver BC Philadelphia PA,Vancouver BC,Philadelphia PA,3378.7
Asheville NC Vancouver BC,Asheville NC,Vancouver BC,2960.2
Regina SK Topeka KS,Regina SK,Topeka KS,1002.2
Tulsa OK Windsor ON,Tulsa OK,Windsor ON,995
Jacksonville FL Pittsfield MA,Jacksonville FL,Pittsfield MA,1019.2
Hilo HI Sault Ste Marie ON,Hilo HI,Sault Ste Marie ON,5265.1
Atlanta GA Yakima WA,Atlanta GA,Yakima WA,2648.8
Sheboygan WI Portsmouth VA,Sheboygan WI,Portsmouth VA,922.2
El Paso TX Memphis TN,El Paso TX,Memphis TN,1159.7
Bloomington IL Mobile AL,Bloomington IL,Mobile AL,679.6
Colorado Springs CO London ON,Colorado Springs CO,London ON,1655
Birmingham AL Montgomery AL,Birmingham AL,Montgomery AL,87
Calgary AB Worcester MA,Calgary AB,Worcester MA,2980.5
Jersey City NJ Montreal QC,Jersey City NJ,Montreal QC,342.7
Milwaukee WI Phoenix AZ,Milwaukee WI,Phoenix AZ,1796.5
Duluth MN Salt Lake City UT,Duluth MN,Salt Lake City UT,1428.9
Sacramento CA Terre Haute IN,Sacramento CA,Terre Haute IN,2355.5
Portsmouth VA Meriden CT,Portsmouth VA,Meriden CT,404.7
Billings MT Concord NH,Billings MT,Concord NH,2560.1
Steubenville OH New York NY,Steubenville OH,New York NY,458.6
Lowell MA Ottawa ON,Lowell MA,Ottawa ON,374.4
Tulsa OK Nome AK,Tulsa OK,Nome AK,5180.8
Columbus GA Reno NV,Columbus GA,Reno NV,2455.3
Enid OK Calgary AB,Enid OK,Calgary AB,1509.4
North Bay ON Denver CO,North Bay ON,Denver CO,1822.8
Natchez MS Cedar Rapids IA,Natchez MS,Cedar Rapids IA,722.1
Milwaukee WI Birmingham AL,Milwaukee WI,Birmingham AL,662.1
New BritainCT Grand Rapids MI,New BritainCT,Grand Rapids MI,895
Portland OR Helena MT,Portland OR,Helena MT,738.9
Meriden CT San Bernardino CA,Meriden CT,San Bernardino CA,3116
Bowling Green KY Joplin MO,Bowling Green KY,Joplin MO,557.6
Portsmouth NH Sheridan WY,Portsmouth NH,Sheridan WY,2503.6
Flint MI Charlotte NC,Flint MI,Charlotte NC,572.7
Kenosha WI Canton OH,Kenosha WI,Canton OH,461.9
Rapid City SD Eau Claire WI,Rapid City SD,Eau Claire WI,812.2
Eau Claire WI Dubuque IA,Eau Claire WI,Dubuque IA,169.7
Troy NY Elizabeth NJ,Troy NY,Elizabeth NJ,147.1
Juneau AK Trenton NJ,Juneau AK,Trenton NJ,4308.6
Grand Rapids MI Tulsa OK,Grand Rapids MI,Tulsa OK,854.6
Knoxville TN Guelph ON,Knoxville TN,Guelph ON,582
Port Arthur TX Akron OH,Port Arthur TX,Akron OH,1154.2
Bowling Green KY Trois-Rivieres QC,Bowling Green KY,Trois-Rivieres QC,1150.2
Chattanooga TN Salina KS,Chattanooga TN,Salina KS,889.5
Joplin MO Enid OK,Joplin MO,Enid OK,237.3
Eau Claire WI Richmond VA,Eau Claire WI,Richmond VA,1091.9
Brattleboro VT Tucson AZ,Brattleboro VT,Tucson AZ,2750.9
Biloxi MS San Diego CA,Biloxi MS,San Diego CA,1960
Amarillo TX Battle Creek MI,Amarillo TX,Battle Creek MI,1250.7
Charlotte NC Stamford CT,Charlotte NC,Stamford CT,645.4
Brandon MB Akron OH,Brandon MB,Akron OH,1412.1
Phoenix AZ New York NY,Phoenix AZ,New York NY,2677.7
Binghamtom NY Lubbock TX,Binghamtom NY,Lubbock TX,1886.3
Natchez MS Houston TX,Natchez MS,Houston TX,300.5
Fall River MA Santa Barbara CA,Fall River MA,Santa Barbara CA,3391.5
Columbia MO Chicago IL,Columbia MO,Chicago IL,380.6
Racine WI Cheyenne WY,Racine WI,Cheyenne WY,1182.3
Saint John's NF Erie PA,Saint John's NF,Erie PA,1926.3
Daytona Beach FL New Haven CT,Daytona Beach FL,New Haven CT,1005.7
New Orleans LA Augusta ME,New Orleans LA,Augusta ME,1717.7
Bismarck ND Stockton CA,Bismarck ND,Stockton CA,1543.2
Norfolk VA Amarillo TX,Norfolk VA,Amarillo TX,1768.6
Saginaw MI Ft Worth TX,Saginaw MI,Ft Worth TX,1183
Portsmouth NH Santa Fe NM,Portsmouth NH,Santa Fe NM,2483.4
Laredo TX Minneapolis MN,Laredo TX,Minneapolis MN,1282.1
Peoria IL San Jose CA,Peoria IL,San Jose CA,2244.1
White Plains NY Meriden CT,White Plains NY,Meriden CT,74.7
Bismarck ND Gary IN,Bismarck ND,Gary IN,995.9
Santa Cruz CA Erie PA,Santa Cruz CA,Erie PA,2920
Churchill MB Santa Cruz CA,Churchill MB,Santa Cruz CA,2448.8
Fresno CA Bloomington IL,Fresno CA,Bloomington IL,2142.2
Hilo HI Louisville KY,Hilo HI,Louisville KY,5009.8
Decatur IL Bangor ME,Decatur IL,Bangor ME,1435.6
Providence RI Superior WI,Providence RI,Superior WI,1469.1
Iowa City IA Terre Haute IN,Iowa City IA,Terre Haute IN,322.3
Erie PA San Bernardino CA,Erie PA,San Bernardino CA,2629.7
Evansville IN Wilkes-Barre PA,Evansville IN,Wilkes-Barre PA,837.7
Bakersfield CA Knoxville TN,Bakersfield CA,Knoxville TN,2425.4
Fargo ND Daytona Beach FL,Fargo ND,Daytona Beach FL,1636.1
Saint Catherines ON Tallahassee FL,Saint Catherines ON,Tallahassee FL,949.3
Norfolk VA Little Rock AR,Norfolk VA,Little Rock AR,1115.3
Port Arthur TX Burlington VT,Port Arthur TX,Burlington VT,1750.3
Columbia SC Alert NT,Columbia SC,Alert NT,3594.1
San Jose CA Salt Lake City UT,San Jose CA,Salt Lake City UT,730.5
Wilmington DE Rochester MN,Wilmington DE,Rochester MN,1206
San Antonio TX Yakima WA,San Antonio TX,Yakima WA,1929.2
Toledo OH Whitehorse YK,Toledo OH,Whitehorse YK,3794.8
Trenton NJ Charlotte NC,Trenton NJ,Charlotte NC,544.5
Durham NC Des Moines IA,Durham NC,Des Moines IA,1087.7
Atlanta GA Saint Catherines ON,Atlanta GA,Saint Catherines ON,745.4
Billings MT Little Rock AR,Billings MT,Little Rock AR,1355
Bowling Green KY Huntsville AL,Bowling Green KY,Huntsville AL,156.5
Kansas City KS Oklahoma City OK,Kansas City KS,Oklahoma City OK,321.5
Hilo HI Butte MT,Hilo HI,Butte MT,3501
Minot ND Bridgeport CT,Minot ND,Bridgeport CT,2001.4
Prince Rupert BC Spokane WA,Prince Rupert BC,Spokane WA,1009.4
Lansing MI West Palm Beach FL,Lansing MI,West Palm Beach FL,1149.6
Grand Rapids MI Calgary AB,Grand Rapids MI,Calgary AB,2038.4
Portland ME Hamilton ON,Portland ME,Hamilton ON,669.4
Flagstaff AZ Durham NC,Flagstaff AZ,Durham NC,2263.7
Provo UT Fresno CA,Provo UT,Fresno CA,610.2
Reno NV Kenosha WI,Reno NV,Kenosha WI,2220.5
Wilmington DE Paducah KY,Wilmington DE,Paducah KY,920.5
Kingston ON Boston MA,Kingston ON,Boston MA,403.7
Pensacola FL Stamford CT,Pensacola FL,Stamford CT,1196.9
San Jose CA Salem OR,San Jose CA,Salem OR,531.2
Binghamtom NY Jersey City NJ,Binghamtom NY,Jersey City NJ,158.5
Asheville NC Beaumont TX,Asheville NC,Beaumont TX,884.2
Chicago IL Saint John's NF,Chicago IL,Saint John's NF,2444
Lubbock TX Albany NY,Lubbock TX,Albany NY,2040.2
Schenectady NY Cedar Rapids IA,Schenectady NY,Cedar Rapids IA,1224.5
Philadelphia PA Binghamtom NY,Philadelphia PA,Binghamtom NY,157.2
Biloxi MS Paterson NJ,Biloxi MS,Paterson NJ,1249.8
Charleston SC Wichita KS,Charleston SC,Wichita KS,1249.7
Macon GA Columbia MO,Macon GA,Columbia MO,734.7
Dodge City KS Saint Joseph MO,Dodge City KS,Saint Joseph MO,383.4
Brattleboro VT North Bay ON,Brattleboro VT,North Bay ON,537.7
Steubenville OH Waterloo IA,Steubenville OH,Waterloo IA,822.2
Birmingham AL Oklahoma City OK,Birmingham AL,Oklahoma City OK,752.4
Saint Cloud MN Saint Cloud MN,Saint Cloud MN,Saint Cloud MN,0
Trenton NJ Nome AK,Trenton NJ,Nome AK,6485.3
Akron OH Grand Junction CO,Akron OH,Grand Junction CO,1872.9
Stamford CT Wilkes-Barre PA,Stamford CT,Wilkes-Barre PA,162.2
Montgomery AL Memphis TN,Montgomery AL,Memphis TN,322.6
Erie PA Rapid City SD,Erie PA,Rapid City SD,1604.9
Natchez MS Lubbock TX,Natchez MS,Lubbock TX,735.5
Orlando FL Rochester MN,Orlando FL,Rochester MN,1316
San Antonio TX Minot ND,San Antonio TX,Minot ND,1313.9
Orlando FL New York NY,Orlando FL,New York NY,983.5
Cheyenne WY Sheridan WY,Cheyenne WY,Sheridan WY,292.6
Springfield OH Madison WI,Springfield OH,Madison WI,443.4
Erie PA San Bernardino CA 1,Erie PA,San Bernardino CA,2639.7
Montreal QC Central Islip NY,Montreal QC,Central Islip NY,341.9
Columbus GA Houston TX,Columbus GA,Houston TX,740.7
Montpelier VT Provo UT,Montpelier VT,Provo UT,2714.7
Nome AK Yakima WA,Nome AK,Yakima WA,3340
Lawrence MA Juneau AK,Lawrence MA,Juneau AK,4501.6
Stockton CA Santa Fe NM,Stockton CA,Santa Fe NM,1072.3
Norfolk VA Cambridge MA,Norfolk VA,Cambridge MA,523.4
South Bend IN Orlando FL,South Bend IN,Orlando FL,968.6
Grand Junction CO Biloxi MS,Grand Junction CO,Biloxi MS,1484.9
San Diego CA Dodge City KS,San Diego CA,Dodge City KS,1234.4
San Jose CA Regina SK,San Jose CA,Regina SK,1495.1
Saint John's NF Phoenix AZ,Saint John's NF,Phoenix AZ,4214.2
Marshall TX Columbia SC,Marshall TX,Columbia SC,926.7
Moose Jaw SK Kitchener ON,Moose Jaw SK,Kitchener ON,1803
London ON Bellingham WA,London ON,Bellingham WA,2879
Asheville NC Cleveland OH,Asheville NC,Cleveland OH,411.9
Sudbury ON Manchester NH,Sudbury ON,Manchester NH,692.6
Spartanburg NC Yuma AZ,Spartanburg NC,Yuma AZ,2264.1
Honolulu HI Baton Rouge LA,Honolulu HI,Baton Rouge LA,4652
Salina KS Thunder Bay ON,Salina KS,Thunder Bay ON,872.7
Wichita KS Enid OK,Wichita KS,Enid OK,97.1
Gainesville FL Eugene OR,Gainesville FL,Eugene OR,2987
Columbus OH Philadelphia PA,Columbus OH,Philadelphia PA,541.3
Ashland KY Mobile AL,Ashland KY,Mobile AL,654.8
Daytona Beach FL Key West FL,Daytona Beach FL,Key West FL,325.9
San Antonio TX Gulfport MS,San Antonio TX,Gulfport MS,652.8
Grand Junction CO South Bend IN,Grand Junction CO,South Bend IN,1551.4
Natchez MS Vancouver BC,Natchez MS,Vancouver BC,2511.2
Akron OH Texarkana TX,Akron OH,Texarkana TX,1014.5
Saint John's NF North Bay ON,Saint John's NF,North Bay ON,1847.7
Ft Wayne IN Charlottetown PE,Ft Wayne IN,Charlottetown PE,1561.9
Chicago IL Lincoln NE,Chicago IL,Lincoln NE,627.2
Youngstown OH Madison WI,Youngstown OH,Madison WI,619.9
Portsmouth VA Augusta GA,Portsmouth VA,Augusta GA,455.9
Saginaw MI Lexington KY,Saginaw MI,Lexington KY,377
Raleigh NC Regina SK,Raleigh NC,Regina SK,2064
Kalamazoo MI Little Rock AR,Kalamazoo MI,Little Rock AR,697.3
Albany NY Billings MT,Albany NY,Billings MT,2410.3
San Bernardino CA Zanesville OH,San Bernardino CA,Zanesville OH,2470.5
Indianapolis IN Gadsden AL,Indianapolis IN,Gadsden AL,397.7
Birmingham AL Vancouver BC,Birmingham AL,Vancouver BC,2737
Toledo OH Topeka KS,Toledo OH,Topeka KS,856.9
Ashland KY Macon GA,Ashland KY,Macon GA,395.6
Sault Ste Marie ON Portland OR,Sault Ste Marie ON,Portland OR,2637.9
Flint MI Charlotte NC 1,Flint MI,Charlotte NC,582.7
Albuquerque NM Gary IN,Albuquerque NM,Gary IN,1407.6
Wichita KS Shreveport LA,Wichita KS,Shreveport LA,434.6
Washington DC Cleveland OH,Washington DC,Cleveland OH,368.8
Tucson AZ Providence RI,Tucson AZ,Providence RI,2809.6
Springfield MO Jackson MI,Springfield MO,Jackson MI,706.2
Los Angeles CA Ogden UT,Los Angeles CA,Ogden UT,658.2
Lincoln NE Shreveport LA,Lincoln NE,Shreveport LA,606.2
Berkeley CA Cincinnati OH,Berkeley CA,Cincinnati OH,2614.4
Stamford CT Denver CO,Stamford CT,Denver CO,2174.4
Charleston WV Rochester NY,Charleston WV,Rochester NY,432.7
Kalamazoo MI Columbia MO,Kalamazoo MI,Columbia MO,520.2
Brantford ON Sacramento CA,Brantford ON,Sacramento CA,2860.7
Youngstown OH Concord NH,Youngstown OH,Concord NH,646.2
Jackson MS Corpus Christi TX,Jackson MS,Corpus Christi TX,587.3
Montgomery AL London ON,Montgomery AL,London ON,811.5
Sherbrooke QC Minneapolis MN,Sherbrooke QC,Minneapolis MN,1490.9
Greensboro NC Mobile AL,Greensboro NC,Mobile AL,680.5
Brattleboro VT Superior WI,Brattleboro VT,Superior WI,1376.7
Fall River MA Medicine Hat AB,Fall River MA,Medicine Hat AB,2793.5
Sacramento CA Newark NJ,Sacramento CA,Newark NJ,3273
Birmingham AL South Bend IN,Birmingham AL,South Bend IN,565.3
Chattanooga TN Louisville KY,Chattanooga TN,Louisville KY,223.9
Brantford ON Salina KS,Brantford ON,Salina KS,1229.5
Montgomery AL Asheville NC,Montgomery AL,Asheville NC,341.9
Troy NY San Bernardino CA,Troy NY,San Bernardino CA,3070.7
Ottawa ON Portland OR,Ottawa ON,Portland OR,3223.5
Roanoke VA San Diego CA,Roanoke VA,San Diego CA,2590.6
Richmond VA Port Arthur TX,Richmond VA,Port Arthur TX,1254.8
Duluth MN Victoria BC,Duluth MN,Victoria BC,2167.9
Greensboro NC Berkeley CA,Greensboro NC,Berkeley CA,2937.8
Iowa City IA Flagstaff AZ,Iowa City IA,Flagstaff AZ,1460.2
Yakima WA San Jose CA,Yakima WA,San Jose CA,647.2
Ann Arbor MI Duluth MN,Ann Arbor MI,Duluth MN,657.6
Flagstaff AZ Lansing MI,Flagstaff AZ,Lansing MI,1943.2
Syracuse NY Asheville NC,Syracuse NY,Asheville NC,678.8
Sacramento CA Corpus Christi TX,Sacramento CA,Corpus Christi TX,1824.1
Saint Cloud MN Albany NY,Saint Cloud MN,Albany NY,1424.2
Wichita KS Baltimore MD,Wichita KS,Baltimore MD,1436.2
Lancaster PA Brattleboro VT,Lancaster PA,Brattleboro VT,323.8
Galveston TX Bowling Green KY,Galveston TX,Bowling Green KY,784.5
Bakersfield CA Salt Lake City UT,Bakersfield CA,Salt Lake City UT,617.3
Tucson AZ Abilene TX,Tucson AZ,Abilene TX,773.7
Anchorage AK Ottawa ON,Anchorage AK,Ottawa ON,5221.6
Cheyenne WY San Francisco CA,Cheyenne WY,San Francisco CA,1238
Cambridge MA Anchorage AK,Cambridge MA,Anchorage AK,5597.9
Boise ID Flint MI,Boise ID,Flint MI,2247
Binghamtom NY Marshall TX,Binghamtom NY,Marshall TX,1435.5
Lima OH Atlantic City NJ,Lima OH,Atlantic City NJ,675.7
Galveston TX Concord NH,Galveston TX,Concord NH,1872.5
Toledo OH Whitehorse YK 1,Toledo OH,Whitehorse YK,3804.8
Syndey NS Lansing MI,Syndey NS,Lansing MI,1709.9
Grand Rapids MI Washington DC,Grand Rapids MI,Washington DC,659.3
South Bend IN Syracuse NY,South Bend IN,Syracuse NY,704.4
Wilmington NC Portsmouth NH,Wilmington NC,Portsmouth NH,787.3
Dodge City KS Elizabeth NJ,Dodge City KS,Elizabeth NJ,1794.4
Brockton MA Philadelphia PA,Brockton MA,Philadelphia PA,322.1
Cedar Rapids IA Waterloo IA,Cedar Rapids IA,Waterloo IA,58.8
Orlando FL Joplin MO,Orlando FL,Joplin MO,1082.7
Seattle WA Austin TX,Seattle WA,Austin TX,2078.9
Fairbanks AK Paterson NJ,Fairbanks AK,Paterson NJ,5343.7
Charlotte NC Bakersfield CA,Charlotte NC,Bakersfield CA,2637.7
Salem OR Grand Junction CO,Salem OR,Grand Junction CO,1080.1
Superior WI Lansing MI,Superior WI,Lansing MI,589.9
Augusta GA Santa Fe NM,Augusta GA,Santa Fe NM,1662.7
Syndey NS Colorado Springs CO,Syndey NS,Colorado Springs CO,3134.8
Hartford CT Lubbock TX,Hartford CT,Lubbock TX,2093.3
Youngstown OH Muncie IN,Youngstown OH,Muncie IN,333.2
Springfield MA San Juan PR,Springfield MA,San Juan PR,1693.3
Iowa City IA San Juan PR,Iowa City IA,San Juan PR,2377.8
New Orleans LA Sudbury ON,New Orleans LA,Sudbury ON,1318.2
